year,Průměrná roční spotřebitelská cena mouky hladké,"Roční index cen průmyslových výrobců CZ-CPA, mlýnské a škrobárenské výrobky","Průměrné ceny zemědělských výrobků, Pšenice potravinářská","Harmonized Index of Consumer Prices: Electricity, Gas, Solid Fuels and Heat Energy for Czech Republic","Výdaje na konečnou spotřebu domácností podle klasifikace COICOP, potraviny",Vývoj osevních ploch pšenice k 31.12,"Ostatní dotace na výrobu, szú","Průměrná hrubá měsíční mzda (průměr roku) podle odvětví CZ-NACE, С, pracovatelský průmysl"
2000,7.83,70.9,3401.5,48.6,189098,855730.69709819,5225,12835
2001,8.48,73.3,3932.75,55.825,197152,852273.520000694,5219.2,13754.5
2002,8.04,73.5,3399.16666666667,58.825,203142,848830.31,6786.6,14660
2003,8.77,73.5,3374.75,58.0916666666667,202820,648389.45,7270.652195,15409.75
2004,8.04,80.2,3899.75,59.175,211726,863158.2,7157.719596,16577.25
2005,7.01,79.7,2748.16666666667,62.9333333333333,215210,820439.52,19025.0757557547,17355.25
2006,7.54,79.8,3099.25,70.825,221235,781518.91,21122.821148,18481.5
2007,10.93,84.9,4577.66666666667,73.0333333333333,236664,810986.6,20646.5588453601,19842.75
2008,11.87,95.6,5106.41666666667,83.4,251381,802324.72,25575.597365047,21678
2009,8.9,90.5,2888.83333333333,90.4666666666667,248011,831299.54,28674.192263,21998.25
2010,10.37,85,3392.41666666667,89.7833333333334,251557,833576.65,26844.593933985,22971
2011,11.47,100.2,5039.25,95.075,269228,863132.13,27567.40846022,23776.5
2012,12.82,104,5049.83333333333,103.125,286407,815381.19,29283.27188626,24471
2013,12.71,103.7,5287.66666666667,104.475,293930,829392.66,27504.2278724162,24792.25
2014,12.47,101.3,4482.66666666667,98.9083333333333,309995,835941.48,32984.824971,25701.5
2015,11.3,100,4321.33333333333,100.008333333333,315663,829819.9,29816.969737,26446.25
2016,10.22,97.9,3703.25,99.4916666666667,327988,839710.49,30674.48398492,27671
2017,11.69,100.1,3820.25,98.7833333333334,351899,832061.89,32351.17961272,29576.5
2018,11.07,101.9,4096.25,100.808333333333,360823,819690.06,32919.67931823,31889.5
2019,11.77,107,4345.25,107.708333333333,378637,839446.45,34678.60181862,34009.25
2020,12.16,108.7,4172.75,111.016666666667,395753,798583.35,32784.523108,34604.25
2021,14.41,109.2,5023.33333333333,107.508333333333,398966,784784.05,36014.682841,36402.75
2022,21.6,132.5,7605.08333333333,140.975,446207,854434.19,35565.9220595,38535.5
2023,16.5,149.3,5825.41666666667,196.541666666667,466178,817761.66,30400.3669569,40349.5
2024,17.0435014421973,147.8,4771.58333333333,204.941666666667,471618,776501.54,33210.91505575,43651.5
